position,description,certificate,company,city,sks,period,link,start_intern,end_intern,start_regis,end_regis
3D Artist,Pembuatan Produk Aplikasi dan Game,Bersertifikat,IT Total Solution ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/791dd098-f884-4cee-b9bf-63d9c11896f1/ae54a002-a715-11eb-b34d-7e0867a6abdb,23 Aug 2021,21 Jan 2022,16 Jun 2021,20 Jul 2021
3D Content Creator,Content Development,Bersertifikat,Telkom ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/b55c51bf-a9b0-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,15 Jun 2021,31 Jul 2021
3D generalist,Pembuatan Produk Aplikasi dan Game,Bersertifikat,IT Total Solution ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/791dd098-f884-4cee-b9bf-63d9c11896f1/479090de-a716-11eb-87b2-c2c15332c25a,23 Aug 2021,21 Jan 2022,16 Jun 2021,20 Jul 2021
3D Illustrator ,The INTERNerary,Bersertifikat,tiket.com ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/98eb0aec-3181-4f8c-8b01-25e24af7129b/bf2cec51-a8e9-11eb-b34d-7e0867a6abdb,09 Aug 2021,14 Feb 2022,28 Jun 2021,26 Jul 2021
3. Modul and Content Maker of Coaching and Consulting Online ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/1d1dc82b-b271-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
4. Administrasi dan Analis Keuangan ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/898c0d59-b271-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
5. Programmer,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/288a1afb-b272-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
6. Teknisi dan Laboran ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/8018a0be-b272-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
7. Pustakawan,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/c2f20c6a-b272-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
8. Quality Assurance ,Internship Program Yayasan Hasnur Centre 2021,Bersertifikat,YHC QuIP (Quality Internship Program) ,"Barito Kuala, Jakarta, Yogyakarta, Malang",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/054b69c6-e415-4e06-be7f-491f672a68b0/575874e7-b273-11eb-b1f3-8a52225fc8c4,01 Jul 2021,31 Dec 2021,01 Jun 2021,01 Jul 2021
