position,description,certificate,company,city,sks,period,link,start_intern,end_intern,start_regis,end_regis
Content Tagging,Vidio Market Acceleration Project,Bersertifikat,Vidio ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8bb8fd87-8e0e-41b8-bcc4-a924fbae04f9/0756cd9c-a95e-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,07 Jun 2021,23 Jul 2021
Content Visual Designer ,Gamified Smart Learning System,Bersertifikat,Studycle ,Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/caa55a6f-0f5a-4ede-a08f-d75ac2a1fb71/2848cbbd-a968-11eb-87b2-c2c15332c25a,23 Aug 2021,14 Jan 2022,21 Jun 2021,30 Jul 2021
Content Writer,Pengembangan inovasi aplikasi smart city dan smart enterprise,Bersertifikat,Citiasia Inc. ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/1d463f4f-bcd8-4125-87a9-e0c00f5328dc/b581e6ff-a978-11eb-b34d-7e0867a6abdb,28 Jun 2021,24 Dec 2021,14 Jun 2021,27 Jun 2021
Content Writer,Data Driven Campaign to Growth Sales,Bersertifikat,Kalbe ,Kota Jakarta Timur,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/4e782529-a9a4-11eb-b34d-7e0867a6abdb,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
Content Writer,Integrated Learning Management System for Corporate Innovation,Bersertifikat,Telkom ,Kota Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/a5e1ee2b-b91b-11eb-bcfc-361b939a537d,01 Jul 2021,31 Dec 2021,15 Jun 2021,30 Jun 2021
Content Writer,DigiKnow - Digital Knowledge Management System,Bersertifikat,Telkom ,"Sukasari,  Kota Bandung, Jawa barat",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/deeac13c-b94e-11eb-bc17-8e3f329e4d8b,02 Aug 2021,31 Jan 2022,15 Jun 2021,31 Jul 2021
Content Writer Intern,Zenius Internship Program 2021,Bersertifikat,Zenius ,"Graha Aktiva, Kuningan Timur, Setiabudi, Jakarta Selatan",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/261f4d66-aa98-41a5-a213-a079764411a7/74241851-a8c2-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Content Writer Intern,InternAtCampaign - Engagement and Communication,Bersertifikat,Campaign.com ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/d2d37548-9ab8-4a9d-84c6-a9c0359989ba/06004549-adbc-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Jan 2022,01 Jun 2021,31 Jul 2021
Content Writer Intern - ZenPro,Zenius Internship Program 2021,Bersertifikat,Zenius ,"Graha Aktiva, Kuningan Timur, Setiabudi, Jakarta Selatan",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/261f4d66-aa98-41a5-a213-a079764411a7/fca057cf-a8c3-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Contract Management Officer,DIGITALLY TRANSFORMING FUTURE,Bersertifikat,XL Axiata ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698/3393c0a6-a93e-11eb-87b2-c2c15332c25a,23 Aug 2021,18 Feb 2022,28 Jun 2021,23 Jul 2021
Copywriter,B2B2C E-COMMERCE SOFTWARE AS A SERVICE,Bersertifikat,Suitmedia ,Work From Home (WFH),20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8bbe4d2b-fcb8-4bc3-a414-4393f5cb0d1b/1f403519-a98c-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Jan 2022,01 Jun 2021,30 Jun 2021
Copywriter,-,Bersertifikat,Tokopedia ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e3a5996a-6880-4dcd-ac4f-19e4665228f8/e6827e65-a416-11eb-8111-3ad4ca063f4f,01 Jun 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
Copywriting & Research,CONTENT DEVELOPMENT,Bersertifikat,Telkom ,Jakarta/Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/3d55d077-a9b8-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,15 Jun 2021,30 Jul 2021
Copywriting & Research,CONTENT DEVELOPMENT,Bersertifikat,Telkom ,Jakarta/Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/8edfefbc-a9b5-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,15 Jun 2021,30 Jul 2021
Copy Writing & Research,Content Development,Bersertifikat,Telkom ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/95c5cbf2-68be-4146-9fef-f891db857f3b/3ec7fd65-a9b3-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,15 Jun 2021,31 Jul 2021
Corporate Communication,-,Bersertifikat,Paragon Technology and Innovation ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/4e92e820-a965-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Corporate Communication Intern,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/fd2b33c1-aed8-11eb-916a-fec524a7507d,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Corporate Communication Intern,"Learning Management for ABM Mining, Engineering & Logistic",Bersertifikat,ABM ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9d58b4f8-33a7-476d-b44c-966e73da4e7b/10e22431-a976-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,01 Jul 2021,31 Jul 2021
Corporate Communications Intern,Assistant Managing Editor AstraMagz,Bersertifikat,Astra ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/09043d18-b214-11eb-9935-da7ada3d00eb,01 Jul 2021,31 Dec 2021,01 Jun 2021,30 Jun 2021
Corporate Communications Intern,Assistant Project Manager for Communications Campaign,Bersertifikat,Astra ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9dc50f6d-2e34-4b22-85ef-e01e696c2b10/19ef2eb5-a9a3-11eb-87b2-c2c15332c25a,01 Jul 2021,31 Dec 2021,01 Jun 2021,30 Jun 2021
Corporate Credit Support,One Risk Management Group,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/d01b12fc-a906-11eb-87b2-c2c15332c25a,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
Corporate Finance Intern,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/939edd16-aed7-11eb-835e-f64c0e044e56,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Corporate Finance Intern,"Learning Management for ABM Mining, Engineering & Logistic",Bersertifikat,ABM ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9d58b4f8-33a7-476d-b44c-966e73da4e7b/4af3b571-a8e3-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,01 Jul 2021,31 Jul 2021
Corporate Finance & Treasury Intern,"Learning Management for ABM Mining, Engineering & Logistic",Bersertifikat,ABM ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9d58b4f8-33a7-476d-b44c-966e73da4e7b/beebe2b0-a971-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,01 Jul 2021,31 Jul 2021
Corporate Secretary,DIGITALLY TRANSFORMING FUTURE,Bersertifikat,XL Axiata ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698/fc6019c8-a943-11eb-b34d-7e0867a6abdb,23 Aug 2021,18 Feb 2022,28 Jun 2021,23 Jul 2021
Corporate Shared Values,Corporate Share Values on Integrated Farming,Bersertifikat,Great Giant Foods ,Kab. Lampung Tengah,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/50272b57-a61e-400b-a651-a8964e0faf38/a33a7320-a993-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Jan 2022,03 May 2021,26 Jul 2021
Corporate Social Responsibility ,-,Bersertifikat,Paragon Technology and Innovation ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/b596f3ff-a965-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Corporate Strategy Intern,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/0123b5b9-aed7-11eb-835e-f64c0e044e56,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Corp Procurement Intern,"Learning Management for ABM Mining, Engineering & Logistic",Bersertifikat,ABM ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/9d58b4f8-33a7-476d-b44c-966e73da4e7b/cdfac02e-a994-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,01 Jul 2021,31 Jul 2021
Cosmetic Store (CS) Online,-,Bersertifikat,Paragon Technology and Innovation ,"Jakarta, Bogor, Bandung, Semarang, Jogja, Surabaya",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/d7cbec99-a96a-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Cost & Warehouse Management (Corporate Real Estate Management),-,Bersertifikat,Paragon Technology and Innovation ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/5cd66f40-a966-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Creative,Vidio Market Acceleration Project,Bersertifikat,Vidio ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8bb8fd87-8e0e-41b8-bcc4-a924fbae04f9/3e436cf8-a95d-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,07 Jun 2021,23 Jul 2021
Creative,Assemblr Certified Innovator 2021,Bersertifikat,Assemblr EDU ,Kota Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/b3c8dedd-9d5b-4722-bdad-9a5ccf90538a/fa005ba4-a9d0-11eb-b34d-7e0867a6abdb,01 Jul 2021,31 Dec 2021,01 Jun 2021,30 Jun 2021
Creative Branding Interns,Program Magang Lazada Indonesia Marketing Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/44b3cf9a-a994-11eb-87b2-c2c15332c25a,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
Creative Designer,Good Brief Initiative,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/7a12baf1-a9cb-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Creative Designer Intern,Membuat Komunikasi yang Efektif di Internal dan ke Eksternal Perusahaan,Bersertifikat,Blibli.com ,Kota Jakarta Pusat,20 SKS , 12 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/508a13b3-ad8d-410d-8c64-8e1e9c154cf8/f1453523-a9aa-11eb-b34d-7e0867a6abdb,23 Aug 2021,19 Aug 2022,07 Jun 2021,23 Jul 2021
Creative Design PID,-,Bersertifikat,Paragon Technology and Innovation ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/0ba586e8-a8f8-11eb-b34d-7e0867a6abdb,02 Aug 2021,31 Jan 2022,29 Apr 2021,31 May 2021
Creative Graphic Designer,-,Bersertifikat,Tokopedia ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e3a5996a-6880-4dcd-ac4f-19e4665228f8/78b72286-a415-11eb-9065-86d9847751a0,01 Jun 2021,31 Dec 2021,15 Jun 2021,15 Jul 2021
"Creative Marketing, Branding and Campaign",Grab Campus Apprenticeship,Bersertifikat,Grab Indonesia ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/887a705c-2e58-4790-ab7a-188fde3943ae/8cb156cd-a81a-11eb-b34d-7e0867a6abdb,23 Aug 2021,18 Feb 2022,07 Jun 2021,25 Jun 2021
Creative Strategy,Good Brief Initiative,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/2c411ecd-a9cb-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Creative Writer,Good Brief Initiative,Bersertifikat,Semua Murid Semua Guru ,DKI Jakarta,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/58b64ccc-a9cb-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Credit Risk Support ,One Risk Management Group,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/6a68e3b7-a906-11eb-b34d-7e0867a6abdb,23 Aug 2021,25 Jul 2022,28 Jun 2021,23 Jul 2021
Crop Improvement,Research & Development on Integrated Farming,Bersertifikat,Great Giant Foods ,Kab. Lampung Tengah,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/50272b57-a61e-400b-a651-a8964e0faf38/2d024538-a95e-11eb-87b2-c2c15332c25a,01 Aug 2021,31 Jan 2022,03 May 2021,26 Jul 2021
CSR (Corporate Social Responsibility) Communication Support ,Strategic Marketing & Communications Project ,Bersertifikat,Bank DBS Indonesia ,DKI Jakarta,20 SKS , 11 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38814882-af32-4727-a0ee-fb8a36d52243/9aa52c53-a957-11eb-b34d-7e0867a6abdb,23 Aug 2021,25 Jul 2022,28 Jun 2021,26 Jul 2021
Culture- Analyst Intern,Culture and Values Activation,Bersertifikat,Bank CIMB Niaga ,Jabodetabek,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/b6f0075b-a99d-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Feb 2022,14 Jun 2021,31 Jul 2021
Culture and Engagement ,The INTERNerary,Bersertifikat,tiket.com ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/98eb0aec-3181-4f8c-8b01-25e24af7129b/0cd50c65-a952-11eb-b34d-7e0867a6abdb,09 Aug 2021,14 Feb 2022,28 Jun 2021,26 Jul 2021
Culture - Communication Intern,Culture and Values Activation,Bersertifikat,Bank CIMB Niaga ,Jabodetabek,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/e1895818-a99c-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Feb 2022,14 Jun 2021,31 Jul 2021
Culture- Design Intern,Culture and Values Activation,Bersertifikat,Bank CIMB Niaga ,Jabodetabek,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/6befcaff-a99d-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Feb 2022,14 Jun 2021,31 Jul 2021
Culture Development ,DIGITALLY TRANSFORMING FUTURE,Bersertifikat,XL Axiata ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698/0214eb0d-a93d-11eb-87b2-c2c15332c25a,23 Aug 2021,18 Feb 2022,28 Jun 2021,23 Jul 2021
Culture Evangelist  ,-,Bersertifikat,Telkomsel ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/162aef9f-4662-4465-82d8-7adf85a712f0/2e35c303-a95b-11eb-87b2-c2c15332c25a,23 Aug 2021,04 Feb 2022,07 Jun 2021,30 Jun 2021
Curriculum and Instructional Developer,Gamified Smart Learning System,Bersertifikat,Studycle ,Bandung,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/caa55a6f-0f5a-4ede-a08f-d75ac2a1fb71/4f9e6202-a967-11eb-b34d-7e0867a6abdb,23 Aug 2021,14 Jan 2022,21 Jun 2021,30 Jul 2021
Customer Relationship Management (CRM) Project,-,Bersertifikat,Paragon Technology and Innovation ,"Jakarta, Bogor, Bandung, Semarang, Jogja, Surabaya",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bcdcdee1-cef2-4ed7-b469-12a6ab2740fa/44da096f-a976-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Jan 2022,30 Apr 2021,31 May 2021
Customer Research Intern,-,Bersertifikat,TANIHUB GROUP  ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/da32871d-4655-45c1-914f-11e6af8555b8/a6a37d6a-aeda-11eb-916a-fec524a7507d,16 Aug 2021,28 Feb 2022,15 Jun 2021,31 Jul 2021
Data Analyst,Pembuatan Produk Aplikasi dan Game,Bersertifikat,IT Total Solution ,Kota Yogyakarta,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/791dd098-f884-4cee-b9bf-63d9c11896f1/5e05cf8e-a708-11eb-ae1a-467b73092628,23 Aug 2021,21 Jan 2022,16 Jun 2021,20 Jul 2021
Data Analyst,-,Bersertifikat,Setjen DPR RI ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/2178804f-9f7d-44f7-af4b-4f9cec26a028/b1d2e4eb-c861-11eb-bc02-dae2475879b2,16 Aug 2021,31 Jan 2022,10 Jun 2021,30 Jul 2021
Data Analyst,Program Magang Merdeka Belajar Kampus Merdeka Petrokimia Gresik,Bersertifikat,PT Petrokimia Gresik ,Kab. Gresik,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/bc27aac3-8e3f-4016-9b18-cdbfa26746d8/7e438d5e-a9b3-11eb-87b2-c2c15332c25a,23 Aug 2021,21 Jan 2022,01 Jul 2021,20 Aug 2021
Data Analyst,Tracking Financial CRM BPOCC,Bersertifikat,Kalbe ,Kota Jakarta Timur,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/6330ca09-a9b2-11eb-87b2-c2c15332c25a,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
Data Analyst,-,Bersertifikat,Bank BRI ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a78798fb-cfe4-4e23-9d42-a09881f6bf9c/494adb64-a95b-11eb-87b2-c2c15332c25a,23 Aug 2021,22 Jan 2022,01 Jul 2021,01 Aug 2021
Data Analyst,Data Analyize,Bersertifikat,Hoshizora Foundation ,Kota Yogyakarta,20 SKS , 2 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/e8b20fc7-5d8f-4d68-87f7-9a6abdb50e56/d6f91c9b-a97d-11eb-b34d-7e0867a6abdb,01 Sep 2021,30 Nov 2021,13 Jun 2021,17 Jul 2021
"Data analyst, Data Reviewer",Central Data Excellent,Bersertifikat,Bank CIMB Niaga ,Jakarta Selatan,20 SKS , 7 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/76bf3e14-a97f-11eb-87b2-c2c15332c25a,23 Aug 2021,23 Mar 2022,14 Jun 2021,31 Jul 2021
"Data Analyst, Data Scientist, Data Engineer, Researcher ",Proyek/ Riset Bank Indonesia,Bersertifikat,Kampus Merdeka Bank Indonesia (KMBI) ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/f2442434-987b-4f9b-b5c0-6484f5d82530/7a84aeb1-acf0-11eb-87b2-c2c15332c25a,16 Aug 2021,17 Jan 2022,15 Jun 2021,15 Jul 2021
Data Analyst Intern,-,Bersertifikat,Traveloka ,Kab. Tangerang,20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/38b1780f-5eac-4fb2-922b-a38c739477e3/95f05978-a89b-11eb-87b2-c2c15332c25a,02 Aug 2021,31 Dec 2021,14 Jun 2021,23 Jul 2021
Data Analyst Intern,"Media Communications Inotiative Program, Webinar Edukasi Medis (SKP) by Zoom, Media Communications Inotiative Program, Social Media & Website Analytics",Bersertifikat,Kalbe ,"Sunter, North Jakarta",20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/ee261620-e398-4939-ae17-ab576c801cbe/375a8adb-a9bc-11eb-b34d-7e0867a6abdb,23 Aug 2021,28 Feb 2022,01 Jul 2021,30 Jul 2021
Data Analyst - Online Based,Sanggar Rahsa,Bersertifikat,Rahsa Nusantara ,Kota Bandung,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/66c77515-2e44-4273-82d4-2fbf96dbd52b/c2093690-a8bd-11eb-b34d-7e0867a6abdb,23 Aug 2021,20 Feb 2022,07 May 2021,23 Jul 2021
data analytic,Treasury Product in Digital Era,Bersertifikat,Bank CIMB Niaga ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/7ee6d215-9ad2-4565-81c1-555e8efb1360/427c047b-a9b3-11eb-b34d-7e0867a6abdb,23 Aug 2021,23 Feb 2022,14 Jun 2021,31 Jul 2021
Data Analytics,DIGITALLY TRANSFORMING FUTURE,Bersertifikat,XL Axiata ,Kota Jakarta Selatan,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/c6eaa287-d3a3-4dc4-92b0-c3cabfe9a698/3516f72b-a937-11eb-87b2-c2c15332c25a,23 Aug 2021,18 Feb 2022,28 Jun 2021,23 Jul 2021
Data Analytics,-,Bersertifikat,Bank BRI ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a78798fb-cfe4-4e23-9d42-a09881f6bf9c/6527438d-a98a-11eb-b34d-7e0867a6abdb,23 Aug 2021,22 Feb 2022,01 Jul 2021,01 Aug 2021
Data Center Internship-Penyelamatan Kredit,Data Center Internship-Penyelamatan Kredit,Bersertifikat,BCA ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/8a7e142f-1562-49c4-865d-26bfc2cb3dfe/fe5dc994-a9a9-11eb-b34d-7e0867a6abdb,01 Aug 2021,28 Feb 2022,01 Jun 2021,16 Jul 2021
Data Engineer,-,Bersertifikat,Bank BRI ,Kota Jakarta Pusat,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/a78798fb-cfe4-4e23-9d42-a09881f6bf9c/dfa4498e-a95b-11eb-87b2-c2c15332c25a,23 Aug 2021,22 Jan 2022,01 Jul 2021,01 Aug 2021
Data Intern,DANApprentice,Bersertifikat,DANA ,"DANA Indonesia. Capital Place 18th Floor, Jend. Gatot Subroto Kav. 18, Jakarta Selatan – 12710",20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/3f963ff0-ec3c-4f76-ac01-8e342851787e/c81a6808-a43d-11eb-8111-3ad4ca063f4f,01 Sep 2021,01 Feb 2022,15 Jun 2021,06 Aug 2021
Data Management,Teman Literasi Perpustakaan,Bersertifikat,Semua Murid Semua Guru ,"Jawa Timur, Jawa Barat, Sulawesi Barat",20 SKS , 4 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/0cc412e6-5c6a-490d-82d6-c9cb8ae4ebba/187c4fdd-a9c9-11eb-b34d-7e0867a6abdb,01 Aug 2021,31 Dec 2021,17 Jun 2021,18 Jul 2021
Data Platform ,The INTERNerary,Bersertifikat,tiket.com ,Kota Jakarta Pusat,20 SKS , 6 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/98eb0aec-3181-4f8c-8b01-25e24af7129b/e108ea8c-a8f6-11eb-b34d-7e0867a6abdb,09 Aug 2021,14 Feb 2022,28 Jun 2021,26 Jul 2021
Data Science Interns,Program Magang Lazada Indonesia Customer Care Team,Bersertifikat,Lazada ,Kota Jakarta Selatan,20 SKS , 5 bulan,https://kampusmerdeka.kemdikbud.go.id/program/magang/browse/aed64ced-1c3e-40f4-8c92-3fae1469cbc4/7a3b87e8-a9cb-11eb-87b2-c2c15332c25a,23 Aug 2021,21 Jan 2022,07 Jun 2021,23 Jul 2021
